Subdivision,Year,Annual_Rainfall_mm
Coastal Karnataka,1977,3378.900
Coastal Karnataka,1978,3863.000
Coastal Karnataka,1979,2823.500
Coastal Karnataka,1980,3762.100
Coastal Karnataka,1981,3848.600
Coastal Karnataka,1982,4090.700
Coastal Karnataka,1983,3942.100
Coastal Karnataka,1984,3359.100
Coastal Karnataka,1985,3015.800
Coastal Karnataka,1986,2934.500
Coastal Karnataka,1987,2716.200
Coastal Karnataka,1988,3466.600
Coastal Karnataka,1989,3215.600
Coastal Karnataka,1990,4120.500
Coastal Karnataka,1991,3719.700
Coastal Karnataka,1992,3882.100
Coastal Karnataka,1993,3481.300
Coastal Karnataka,1994,4636.300
Coastal Karnataka,1995,3357.800
Coastal Karnataka,1996,3188.800
Coastal Karnataka,1997,3953.500
Coastal Karnataka,1998,3708.000
Coastal Karnataka,1999,3779.800
Coastal Karnataka,2000,3351.400
Coastal Karnataka,2001,3111.700
Coastal Karnataka,2002,2793.200
Coastal Karnataka,2003,3071.900
Coastal Karnataka,2004,3069.800
Coastal Karnataka,2005,3470.900
Coastal Karnataka,2006,3837.300
Coastal Karnataka,2007,3860.300
Coastal Karnataka,2008,3206.400
Coastal Karnataka,2009,3862.000
Coastal Karnataka,2010,3686.700
Coastal Karnataka,2011,3908.600
Coastal Karnataka,2012,3137.138
Coastal Karnataka,2013,4229.500
Coastal Karnataka,2014,3684.500
Coastal Karnataka,2015,3105.900
Coastal Karnataka,2016,2619.700
Coastal Karnataka,2017,2947.600
East Madhya Pradesh,1901,1332.700
East Madhya Pradesh,1902,984.300
East Madhya Pradesh,1903,1178.100
East Madhya Pradesh,1904,1144.300
East Madhya Pradesh,1905,886.200
East Madhya Pradesh,1906,1369.700
East Madhya Pradesh,1907,1009.600
East Madhya Pradesh,1908,1430.500
East Madhya Pradesh,1909,1122.000
East Madhya Pradesh,1910,1222.200
East Madhya Pradesh,1911,1197.100
East Madhya Pradesh,1912,1150.500
East Madhya Pradesh,1913,936.200
East Madhya Pradesh,1914,1250.000
East Madhya Pradesh,1915,1382.400
East Madhya Pradesh,1916,1480.200
East Madhya Pradesh,1917,1639.300
East Madhya Pradesh,1918,930.500
East Madhya Pradesh,1919,1747.300
East Madhya Pradesh,1920,899.600
East Madhya Pradesh,1921,1132.000
East Madhya Pradesh,1922,1237.900
East Madhya Pradesh,1923,1443.800
East Madhya Pradesh,1924,1315.400
East Madhya Pradesh,1925,1354.400
East Madhya Pradesh,1926,1727.000
East Madhya Pradesh,1927,1235.900
East Madhya Pradesh,1928,1107.000
East Madhya Pradesh,1929,1247.500
East Madhya Pradesh,1930,1203.900
East Madhya Pradesh,1931,1342.200
East Madhya Pradesh,1932,1151.100
East Madhya Pradesh,1933,1368.400
East Madhya Pradesh,1934,1473.200
East Madhya Pradesh,1935,1279.900
East Madhya Pradesh,1936,1504.200
East Madhya Pradesh,1937,1398.100
East Madhya Pradesh,1938,1373.700
East Madhya Pradesh,1939,1347.300
East Madhya Pradesh,1940,1192.800
East Madhya Pradesh,1941,828.100
East Madhya Pradesh,1942,1508.300
East Madhya Pradesh,1943,1382.500
East Madhya Pradesh,1944,1427.100
East Madhya Pradesh,1945,1286.200
East Madhya Pradesh,1946,1494.500
East Madhya Pradesh,1947,1419.600
East Madhya Pradesh,1948,1430.500
East Madhya Pradesh,1949,1235.400
East Madhya Pradesh,1950,1177.900
East Madhya Pradesh,1951,1175.400
East Madhya Pradesh,1952,1155.400
East Madhya Pradesh,1953,1007.000
East Madhya Pradesh,1954,1076.500
East Madhya Pradesh,1955,1420.900
East Madhya Pradesh,1956,1515.900
East Madhya Pradesh,1957,1000.800
East Madhya Pradesh,1958,1171.500
East Madhya Pradesh,1959,1302.200
East Madhya Pradesh,1960,1252.000
East Madhya Pradesh,1961,1598.700
East Madhya Pradesh,1962,1068.400
East Madhya Pradesh,1963,1120.200
East Madhya Pradesh,1964,1187.300
East Madhya Pradesh,1965,697.900
East Madhya Pradesh,1966,849.300
East Madhya Pradesh,1967,1407.800
East Madhya Pradesh,1968,973.700
East Madhya Pradesh,1969,1241.900
East Madhya Pradesh,1970,1342.300
East Madhya Pradesh,1971,1518.800
East Madhya Pradesh,1972,1038.200
East Madhya Pradesh,1973,1252.400
East Madhya Pradesh,1974,971.200
East Madhya Pradesh,1975,1434.300
East Madhya Pradesh,1976,1055.700
East Madhya Pradesh,1977,1372.200
East Madhya Pradesh,1978,1392.500
East Madhya Pradesh,1979,809.700
East Madhya Pradesh,1980,1369.100
East Madhya Pradesh,1981,1036.100
East Madhya Pradesh,1982,1297.200
East Madhya Pradesh,1983,1275.500
East Madhya Pradesh,1984,1110.700
East Madhya Pradesh,1985,1115.300
East Madhya Pradesh,1986,1029.200
East Madhya Pradesh,1987,1116.100
East Madhya Pradesh,1988,1069.500
East Madhya Pradesh,1989,921.000
East Madhya Pradesh,1990,1379.900
East Madhya Pradesh,1991,1016.800
East Madhya Pradesh,1992,1051.100
East Madhya Pradesh,1993,1118.800
East Madhya Pradesh,1994,1533.800
East Madhya Pradesh,1995,1032.300
East Madhya Pradesh,1996,986.700
East Madhya Pradesh,1997,1357.000
East Madhya Pradesh,1998,1013.400
East Madhya Pradesh,1999,1443.900
East Madhya Pradesh,2000,874.300
East Madhya Pradesh,2001,1170.100
East Madhya Pradesh,2002,950.000
East Madhya Pradesh,2003,1438.000
East Madhya Pradesh,2004,955.300
East Madhya Pradesh,2005,1366.400
East Madhya Pradesh,2006,943.300
East Madhya Pradesh,2007,653.700
East Madhya Pradesh,2008,1003.200
East Madhya Pradesh,2009,944.000
East Madhya Pradesh,2010,960.600
East Madhya Pradesh,2011,1275.200
East Madhya Pradesh,2012,1053.200
East Madhya Pradesh,2013,1521.900
East Madhya Pradesh,2014,925.000
East Madhya Pradesh,2015,939.200
East Madhya Pradesh,2016,1340.000
East Madhya Pradesh,2017,840.100
East Rajasthan,1901,412.600
East Rajasthan,1902,578.200
East Rajasthan,1903,686.100
East Rajasthan,1904,694.500
East Rajasthan,1905,279.900
East Rajasthan,1906,647.300
East Rajasthan,1907,551.700
East Rajasthan,1908,870.100
East Rajasthan,1909,781.800
East Rajasthan,1910,685.300
East Rajasthan,1911,420.300
East Rajasthan,1912,655.300
East Rajasthan,1913,498.200
East Rajasthan,1914,676.500
East Rajasthan,1915,401.600
East Rajasthan,1916,845.200
East Rajasthan,1917,1350.500
East Rajasthan,1918,273.600
East Rajasthan,1919,786.900
East Rajasthan,1920,596.500
East Rajasthan,1921,547.700
East Rajasthan,1922,669.900
East Rajasthan,1923,690.000
East Rajasthan,1924,924.400
East Rajasthan,1925,483.700
East Rajasthan,1926,832.300
East Rajasthan,1927,726.000
East Rajasthan,1928,608.300
East Rajasthan,1929,575.800
East Rajasthan,1930,661.200
East Rajasthan,1931,774.400
East Rajasthan,1932,543.800
East Rajasthan,1933,937.900
East Rajasthan,1934,808.800
East Rajasthan,1935,684.800
East Rajasthan,1936,542.200
East Rajasthan,1937,670.400
East Rajasthan,1938,503.100
East Rajasthan,1939,400.700
East Rajasthan,1940,653.000
East Rajasthan,1941,505.700
East Rajasthan,1942,939.300
East Rajasthan,1943,716.600
East Rajasthan,1944,906.900
East Rajasthan,1945,861.800
East Rajasthan,1946,887.600
East Rajasthan,1947,714.900
East Rajasthan,1948,663.500
East Rajasthan,1949,509.200
East Rajasthan,1950,739.900
East Rajasthan,1951,362.900
East Rajasthan,1952,712.600
East Rajasthan,1953,585.800
East Rajasthan,1954,666.000
East Rajasthan,1955,844.600
East Rajasthan,1956,928.900
East Rajasthan,1957,662.300
East Rajasthan,1958,742.700
East Rajasthan,1959,786.300
East Rajasthan,1960,591.600
East Rajasthan,1961,884.300
East Rajasthan,1962,604.100
East Rajasthan,1963,577.600
East Rajasthan,1964,646.200
East Rajasthan,1965,423.900
East Rajasthan,1966,473.300
East Rajasthan,1967,760.100
East Rajasthan,1968,519.500
East Rajasthan,1969,634.100
East Rajasthan,1970,718.400
East Rajasthan,1971,784.400
East Rajasthan,1972,454.300
East Rajasthan,1973,948.200
East Rajasthan,1974,611.900
East Rajasthan,1975,897.900
East Rajasthan,1976,815.400
East Rajasthan,1977,887.500
East Rajasthan,1978,727.200
East Rajasthan,1979,515.200
East Rajasthan,1980,547.400
East Rajasthan,1981,615.300
East Rajasthan,1982,660.300
East Rajasthan,1983,795.300
East Rajasthan,1984,563.400
East Rajasthan,1985,588.100
East Rajasthan,1986,590.000
East Rajasthan,1987,435.900
East Rajasthan,1988,640.100
East Rajasthan,1989,510.500
East Rajasthan,1990,780.100
East Rajasthan,1991,578.700
East Rajasthan,1992,723.500
East Rajasthan,1993,595.200
East Rajasthan,1994,839.200
East Rajasthan,1995,754.200
East Rajasthan,1996,715.600
East Rajasthan,1997,573.800
East Rajasthan,1998,475.700
East Rajasthan,1999,408.500
East Rajasthan,2000,440.100
East Rajasthan,2001,551.300
East Rajasthan,2002,285.300
East Rajasthan,2003,626.600
East Rajasthan,2004,606.200
East Rajasthan,2005,567.800
East Rajasthan,2006,748.500
East Rajasthan,2007,575.600
East Rajasthan,2008,644.500
East Rajasthan,2009,414.200
East Rajasthan,2010,689.500
East Rajasthan,2011,802.000
East Rajasthan,2012,693.600
East Rajasthan,2013,836.000
East Rajasthan,2014,683.300
East Rajasthan,2015,650.700
East Rajasthan,2016,860.600
East Rajasthan,2017,600.400
East Uttar Pradesh,1901,873.200
East Uttar Pradesh,1902,905.200
East Uttar Pradesh,1903,1216.400
East Uttar Pradesh,1904,1071.300
East Uttar Pradesh,1905,891.500
East Uttar Pradesh,1906,997.500
East Uttar Pradesh,1907,666.400
East Uttar Pradesh,1908,744.700
East Uttar Pradesh,1909,1106.600
East Uttar Pradesh,1910,1116.300
East Uttar Pradesh,1911,1113.900
East Uttar Pradesh,1912,879.500
East Uttar Pradesh,1913,861.600
East Uttar Pradesh,1914,988.800
East Uttar Pradesh,1915,1409.800
East Uttar Pradesh,1916,1201.800
East Uttar Pradesh,1917,1216.500
East Uttar Pradesh,1918,650.700
East Uttar Pradesh,1919,1023.500
East Uttar Pradesh,1920,860.200
East Uttar Pradesh,1921,1114.800
East Uttar Pradesh,1922,1364.000
East Uttar Pradesh,1923,1076.000
East Uttar Pradesh,1924,1120.000
East Uttar Pradesh,1925,1114.200
East Uttar Pradesh,1926,989.400
East Uttar Pradesh,1927,1031.100
East Uttar Pradesh,1928,804.800
East Uttar Pradesh,1929,1014.900
East Uttar Pradesh,1930,1069.400
East Uttar Pradesh,1931,1047.100
East Uttar Pradesh,1932,738.500
East Uttar Pradesh,1933,977.600
East Uttar Pradesh,1934,1068.300
East Uttar Pradesh,1935,919.800
East Uttar Pradesh,1936,1545.400
East Uttar Pradesh,1937,1035.300
East Uttar Pradesh,1938,1374.100
East Uttar Pradesh,1939,945.000
East Uttar Pradesh,1940,867.000
East Uttar Pradesh,1941,798.100
East Uttar Pradesh,1942,1028.700
East Uttar Pradesh,1943,1101.000
East Uttar Pradesh,1944,1061.400
East Uttar Pradesh,1945,980.500
East Uttar Pradesh,1946,1038.900
East Uttar Pradesh,1947,1006.300
East Uttar Pradesh,1948,1323.100
East Uttar Pradesh,1949,1131.100
East Uttar Pradesh,1950,951.400
East Uttar Pradesh,1951,752.600
East Uttar Pradesh,1952,936.000
East Uttar Pradesh,1953,1266.800
East Uttar Pradesh,1954,969.700
East Uttar Pradesh,1955,1424.300
East Uttar Pradesh,1956,1254.100
East Uttar Pradesh,1957,955.700
East Uttar Pradesh,1958,1016.900
East Uttar Pradesh,1959,869.200
East Uttar Pradesh,1960,1170.000
East Uttar Pradesh,1961,1214.100
East Uttar Pradesh,1962,1072.000
East Uttar Pradesh,1963,996.500
East Uttar Pradesh,1964,1036.800
East Uttar Pradesh,1965,685.500
East Uttar Pradesh,1966,707.700
East Uttar Pradesh,1967,1029.300
East Uttar Pradesh,1968,839.900
East Uttar Pradesh,1969,1024.700
East Uttar Pradesh,1970,1132.300
East Uttar Pradesh,1971,1311.100
East Uttar Pradesh,1972,666.800
East Uttar Pradesh,1973,955.600
East Uttar Pradesh,1974,882.100
East Uttar Pradesh,1975,1225.500
East Uttar Pradesh,1976,923.600
East Uttar Pradesh,1977,914.100
East Uttar Pradesh,1978,1116.500
East Uttar Pradesh,1979,696.500
East Uttar Pradesh,1980,1488.600
East Uttar Pradesh,1981,1110.300
East Uttar Pradesh,1982,1110.600
East Uttar Pradesh,1983,1205.000
East Uttar Pradesh,1984,1076.600
East Uttar Pradesh,1985,1175.900
East Uttar Pradesh,1986,935.600
East Uttar Pradesh,1987,824.600
East Uttar Pradesh,1988,1085.100
East Uttar Pradesh,1989,969.900
East Uttar Pradesh,1990,1106.200
East Uttar Pradesh,1991,875.300
East Uttar Pradesh,1992,863.400
East Uttar Pradesh,1993,833.800
East Uttar Pradesh,1994,910.300
East Uttar Pradesh,1995,860.200
East Uttar Pradesh,1996,1010.400
East Uttar Pradesh,1997,493.500
East Uttar Pradesh,1998,661.000
East Uttar Pradesh,1999,952.700
East Uttar Pradesh,2000,946.900
East Uttar Pradesh,2001,973.800
East Uttar Pradesh,2002,689.200
East Uttar Pradesh,2003,1096.300
East Uttar Pradesh,2004,746.900
East Uttar Pradesh,2005,770.100
East Uttar Pradesh,2006,632.100
East Uttar Pradesh,2007,741.300
East Uttar Pradesh,2008,953.300
East Uttar Pradesh,2009,610.000
East Uttar Pradesh,2010,692.100
East Uttar Pradesh,2011,781.200
East Uttar Pradesh,2012,602.700
East Uttar Pradesh,2013,1041.200
East Uttar Pradesh,2014,701.200
East Uttar Pradesh,2015,603.300
East Uttar Pradesh,2016,871.600
East Uttar Pradesh,2017,694.900
Gangetic West Bengal,1901,1487.700
Gangetic West Bengal,1902,1347.600
Gangetic West Bengal,1903,1354.300
Gangetic West Bengal,1904,1383.100
Gangetic West Bengal,1905,1667.000
Gangetic West Bengal,1906,1395.500
Gangetic West Bengal,1907,1337.100
Gangetic West Bengal,1908,1399.800
Gangetic West Bengal,1909,1697.700
Gangetic West Bengal,1910,1385.900
Gangetic West Bengal,1911,1264.900
Gangetic West Bengal,1912,1347.400
Gangetic West Bengal,1913,1826.800
Gangetic West Bengal,1914,1383.800
Gangetic West Bengal,1915,1310.300
Gangetic West Bengal,1916,1600.500
Gangetic West Bengal,1917,1775.700
Gangetic West Bengal,1918,1395.300
Gangetic West Bengal,1919,1482.300
Gangetic West Bengal,1920,1363.500
Gangetic West Bengal,1921,1300.200
Gangetic West Bengal,1922,1655.700
Gangetic West Bengal,1923,1285.200
Gangetic West Bengal,1924,1266.500
Gangetic West Bengal,1925,1273.700
Gangetic West Bengal,1926,1705.200
Gangetic West Bengal,1927,1190.700
Gangetic West Bengal,1928,1625.000
Gangetic West Bengal,1929,1557.400
Gangetic West Bengal,1930,1381.000
Gangetic West Bengal,1931,1475.700
Gangetic West Bengal,1932,1306.800
Gangetic West Bengal,1933,1867.100
Gangetic West Bengal,1934,1117.600
Gangetic West Bengal,1935,1015.100
Gangetic West Bengal,1936,1505.700
Gangetic West Bengal,1937,1522.500
Gangetic West Bengal,1938,1337.800
Gangetic West Bengal,1939,1698.500
Gangetic West Bengal,1940,1358.700
Gangetic West Bengal,1941,1801.100
Gangetic West Bengal,1942,1615.700
Gangetic West Bengal,1943,1446.300
Gangetic West Bengal,1944,1406.400
Gangetic West Bengal,1945,1271.500
Gangetic West Bengal,1946,1714.200
Gangetic West Bengal,1947,1363.100
Gangetic West Bengal,1948,1532.000
Gangetic West Bengal,1949,1493.500
Gangetic West Bengal,1950,1615.800
Gangetic West Bengal,1951,1214.000
Gangetic West Bengal,1952,1395.700
Gangetic West Bengal,1953,1505.800
Gangetic West Bengal,1954,1080.000
Gangetic West Bengal,1955,1268.300
Gangetic West Bengal,1956,1714.200
Gangetic West Bengal,1957,1130.600
Gangetic West Bengal,1958,1151.100
Gangetic West Bengal,1959,1812.600
Gangetic West Bengal,1960,1245.500
Gangetic West Bengal,1961,1290.500
Gangetic West Bengal,1962,1173.400
Gangetic West Bengal,1963,1289.600
Gangetic West Bengal,1964,1278.400
Gangetic West Bengal,1965,1263.900
Gangetic West Bengal,1966,1118.700
Gangetic West Bengal,1967,1348.400
Gangetic West Bengal,1968,1597.800
Gangetic West Bengal,1969,1404.100
Gangetic West Bengal,1970,1648.400
Gangetic West Bengal,1971,2099.800
Gangetic West Bengal,1972,1333.200
Gangetic West Bengal,1973,1735.100
Gangetic West Bengal,1974,1470.600
Gangetic West Bengal,1975,1466.200
Gangetic West Bengal,1976,1240.600
Gangetic West Bengal,1977,1840.600
Gangetic West Bengal,1978,1872.700
Gangetic West Bengal,1979,1157.800
Gangetic West Bengal,1980,1520.800
Gangetic West Bengal,1981,1909.100
Gangetic West Bengal,1982,1111.000
Gangetic West Bengal,1983,1463.600
Gangetic West Bengal,1984,1831.700
Gangetic West Bengal,1985,1413.500
Gangetic West Bengal,1986,1790.800
Gangetic West Bengal,1987,1591.500
Gangetic West Bengal,1988,1681.500
Gangetic West Bengal,1989,1626.200
Gangetic West Bengal,1990,1961.300
Gangetic West Bengal,1991,1609.300
Gangetic West Bengal,1992,1414.600
Gangetic West Bengal,1993,1759.700
Gangetic West Bengal,1994,1530.800
Gangetic West Bengal,1995,1936.100
Gangetic West Bengal,1996,1504.100
Gangetic West Bengal,1997,1657.900
Gangetic West Bengal,1998,1632.800
Gangetic West Bengal,1999,1957.000
Gangetic West Bengal,2000,1572.000
Gangetic West Bengal,2001,1540.700
Gangetic West Bengal,2002,1613.400
Gangetic West Bengal,2003,1496.700
Gangetic West Bengal,2004,1569.400
Gangetic West Bengal,2005,1604.800
Gangetic West Bengal,2006,1660.400
Gangetic West Bengal,2007,1941.500
Gangetic West Bengal,2008,1555.400
Gangetic West Bengal,2009,1314.900
Gangetic West Bengal,2010,1064.900
Gangetic West Bengal,2011,1686.400
Gangetic West Bengal,2012,1268.000
Gangetic West Bengal,2013,1764.000
Gangetic West Bengal,2014,1261.300
Gangetic West Bengal,2015,1530.200
Gangetic West Bengal,2016,1427.000
Gangetic West Bengal,2017,1568.700
Gujarat Region,1901,554.300
Gujarat Region,1902,864.000
Gujarat Region,1903,887.700
Gujarat Region,1904,492.600
Gujarat Region,1905,811.500
Gujarat Region,1906,890.500
Gujarat Region,1907,996.900
Gujarat Region,1908,1027.500
Gujarat Region,1909,977.800
Gujarat Region,1910,974.600
Gujarat Region,1911,403.500
Gujarat Region,1912,1118.600
Gujarat Region,1913,1162.600
Gujarat Region,1914,1107.500
Gujarat Region,1915,567.300
Gujarat Region,1916,952.900
Gujarat Region,1917,1524.900
Gujarat Region,1918,392.700
Gujarat Region,1919,1067.400
Gujarat Region,1920,708.800
Gujarat Region,1921,1172.700
Gujarat Region,1922,878.600
Gujarat Region,1923,553.200
Gujarat Region,1924,909.600
Gujarat Region,1925,593.000
Gujarat Region,1926,1274.400
Gujarat Region,1927,1422.100
Gujarat Region,1928,821.000
Gujarat Region,1929,676.300
Gujarat Region,1930,894.600
Gujarat Region,1931,1104.500
Gujarat Region,1932,906.600
Gujarat Region,1933,1137.000
Gujarat Region,1934,979.500
Gujarat Region,1935,757.000
Gujarat Region,1936,609.200
Gujarat Region,1937,1203.000
Gujarat Region,1938,814.700
Gujarat Region,1939,605.600
Gujarat Region,1940,870.000
Gujarat Region,1941,961.700
Gujarat Region,1942,1186.600
Gujarat Region,1943,912.800
Gujarat Region,1944,1340.400
Gujarat Region,1945,1276.800
Gujarat Region,1946,1147.600
Gujarat Region,1947,783.300
Gujarat Region,1948,473.800
Gujarat Region,1949,800.400
Gujarat Region,1950,1129.300
Gujarat Region,1951,478.400
Gujarat Region,1952,776.400
Gujarat Region,1953,1055.400
Gujarat Region,1954,1247.900
Gujarat Region,1955,975.500
Gujarat Region,1956,1366.700
Gujarat Region,1957,647.800
Gujarat Region,1958,1123.300
Gujarat Region,1959,1560.600
Gujarat Region,1960,649.600
Gujarat Region,1961,945.000
Gujarat Region,1962,773.000
Gujarat Region,1963,997.700
Gujarat Region,1964,892.700
Gujarat Region,1965,656.800
Gujarat Region,1966,696.500
Gujarat Region,1967,938.600
Gujarat Region,1968,667.900
Gujarat Region,1969,788.900
Gujarat Region,1970,1353.900
Gujarat Region,1971,769.200
Gujarat Region,1972,503.700
Gujarat Region,1973,1159.700
Gujarat Region,1974,421.300
Gujarat Region,1975,1192.600
Gujarat Region,1976,1620.100
Gujarat Region,1977,1307.600
Gujarat Region,1978,935.800
Gujarat Region,1979,904.400
Gujarat Region,1980,822.100
Gujarat Region,1981,1114.200
Gujarat Region,1982,758.200
Gujarat Region,1983,1214.000
Gujarat Region,1984,853.700
Gujarat Region,1985,589.700
Gujarat Region,1986,501.900
Gujarat Region,1987,401.800
Gujarat Region,1988,1097.400
Gujarat Region,1989,822.900
Gujarat Region,1990,1118.300
Gujarat Region,1991,672.700
Gujarat Region,1992,901.000
Gujarat Region,1993,941.300
Gujarat Region,1994,1534.500
Gujarat Region,1995,684.200
Gujarat Region,1996,902.700
Gujarat Region,1997,1069.000
Gujarat Region,1998,1070.000
Gujarat Region,1999,568.600
Gujarat Region,2000,550.500
Gujarat Region,2001,849.000
Gujarat Region,2002,637.200
Gujarat Region,2003,1160.200
Gujarat Region,2004,1005.800
Gujarat Region,2005,1316.300
Gujarat Region,2006,1478.000
Gujarat Region,2007,1179.000
Gujarat Region,2008,911.100
Gujarat Region,2009,641.500
Gujarat Region,2010,1088.700
Gujarat Region,2011,890.300
Gujarat Region,2012,713.900
Gujarat Region,2013,1118.400
Gujarat Region,2014,705.700
Gujarat Region,2015,623.000
Gujarat Region,2016,764.700
Gujarat Region,2017,1024.400
Haryana Delhi & Chandigarh,1901,390.200
Haryana Delhi & Chandigarh,1902,419.700
Haryana Delhi & Chandigarh,1903,428.900
Haryana Delhi & Chandigarh,1904,527.500
Haryana Delhi & Chandigarh,1905,322.800
Haryana Delhi & Chandigarh,1906,593.700
Haryana Delhi & Chandigarh,1907,443.900
Haryana Delhi & Chandigarh,1908,689.000
Haryana Delhi & Chandigarh,1909,769.400
Haryana Delhi & Chandigarh,1910,605.200
Haryana Delhi & Chandigarh,1911,509.700
Haryana Delhi & Chandigarh,1912,529.200
Haryana Delhi & Chandigarh,1913,508.500
Haryana Delhi & Chandigarh,1914,664.700
Haryana Delhi & Chandigarh,1915,422.400
Haryana Delhi & Chandigarh,1916,629.200
Haryana Delhi & Chandigarh,1917,986.800
Haryana Delhi & Chandigarh,1918,234.600
Haryana Delhi & Chandigarh,1919,553.800
Haryana Delhi & Chandigarh,1920,368.800
Haryana Delhi & Chandigarh,1921,446.400
Haryana Delhi & Chandigarh,1922,552.700
Haryana Delhi & Chandigarh,1923,581.500
Haryana Delhi & Chandigarh,1924,654.800
Haryana Delhi & Chandigarh,1925,557.100
Haryana Delhi & Chandigarh,1926,616.000
Haryana Delhi & Chandigarh,1927,502.400
Haryana Delhi & Chandigarh,1928,388.200
Haryana Delhi & Chandigarh,1929,306.600
Haryana Delhi & Chandigarh,1930,500.600
Haryana Delhi & Chandigarh,1931,519.000
Haryana Delhi & Chandigarh,1932,439.900
Haryana Delhi & Chandigarh,1933,856.900
Haryana Delhi & Chandigarh,1934,501.300
Haryana Delhi & Chandigarh,1935,568.400
Haryana Delhi & Chandigarh,1936,511.100
Haryana Delhi & Chandigarh,1937,481.600
Haryana Delhi & Chandigarh,1938,278.900
Haryana Delhi & Chandigarh,1939,310.300
Haryana Delhi & Chandigarh,1940,395.700
Haryana Delhi & Chandigarh,1941,363.900
Haryana Delhi & Chandigarh,1942,804.400
Haryana Delhi & Chandigarh,1943,407.900
Haryana Delhi & Chandigarh,1944,484.300
Haryana Delhi & Chandigarh,1945,654.700
Haryana Delhi & Chandigarh,1946,437.700
Haryana Delhi & Chandigarh,1947,464.600
Haryana Delhi & Chandigarh,1948,592.000
Haryana Delhi & Chandigarh,1949,485.300
Haryana Delhi & Chandigarh,1950,551.200
Haryana Delhi & Chandigarh,1951,338.200
Haryana Delhi & Chandigarh,1952,556.500
Haryana Delhi & Chandigarh,1953,561.800
Haryana Delhi & Chandigarh,1954,536.900
Haryana Delhi & Chandigarh,1955,694.000
Haryana Delhi & Chandigarh,1956,653.700
Haryana Delhi & Chandigarh,1957,617.200
Haryana Delhi & Chandigarh,1958,673.000
Haryana Delhi & Chandigarh,1959,485.000
Haryana Delhi & Chandigarh,1960,722.900
Haryana Delhi & Chandigarh,1961,627.800
Haryana Delhi & Chandigarh,1962,511.000
Haryana Delhi & Chandigarh,1963,521.700
Haryana Delhi & Chandigarh,1964,711.000
Haryana Delhi & Chandigarh,1965,381.900
Haryana Delhi & Chandigarh,1966,707.900
Haryana Delhi & Chandigarh,1967,839.900
Haryana Delhi & Chandigarh,1968,388.300
Haryana Delhi & Chandigarh,1969,477.200
Haryana Delhi & Chandigarh,1970,538.200
Haryana Delhi & Chandigarh,1971,636.800
Haryana Delhi & Chandigarh,1972,440.800
Haryana Delhi & Chandigarh,1973,527.100
Haryana Delhi & Chandigarh,1974,384.900
Haryana Delhi & Chandigarh,1975,622.000
Haryana Delhi & Chandigarh,1976,726.700
Haryana Delhi & Chandigarh,1977,740.100
Haryana Delhi & Chandigarh,1978,651.300
Haryana Delhi & Chandigarh,1979,341.500
Haryana Delhi & Chandigarh,1980,513.300
Haryana Delhi & Chandigarh,1981,493.300
Haryana Delhi & Chandigarh,1982,506.600
Haryana Delhi & Chandigarh,1983,744.500
Haryana Delhi & Chandigarh,1984,479.200
Haryana Delhi & Chandigarh,1985,572.400
Haryana Delhi & Chandigarh,1986,451.000
Haryana Delhi & Chandigarh,1987,318.600
Haryana Delhi & Chandigarh,1988,845.100
Haryana Delhi & Chandigarh,1989,416.500
Haryana Delhi & Chandigarh,1990,703.200
Haryana Delhi & Chandigarh,1991,393.800
Haryana Delhi & Chandigarh,1992,429.500
Haryana Delhi & Chandigarh,1993,523.700
Haryana Delhi & Chandigarh,1994,564.300
Haryana Delhi & Chandigarh,1995,819.200
Haryana Delhi & Chandigarh,1996,644.700
Haryana Delhi & Chandigarh,1997,668.600
Haryana Delhi & Chandigarh,1998,685.300
Haryana Delhi & Chandigarh,1999,344.500
Haryana Delhi & Chandigarh,2000,384.400
Haryana Delhi & Chandigarh,2001,485.400
Haryana Delhi & Chandigarh,2002,357.300
Haryana Delhi & Chandigarh,2003,597.400
Haryana Delhi & Chandigarh,2004,487.200
Haryana Delhi & Chandigarh,2005,519.400
Haryana Delhi & Chandigarh,2006,331.000
Haryana Delhi & Chandigarh,2007,446.600
Haryana Delhi & Chandigarh,2008,710.300
Haryana Delhi & Chandigarh,2009,395.300
Haryana Delhi & Chandigarh,2010,640.400
Haryana Delhi & Chandigarh,2011,512.100
Haryana Delhi & Chandigarh,2012,391.300
Haryana Delhi & Chandigarh,2013,461.300
Haryana Delhi & Chandigarh,2014,305.500
Haryana Delhi & Chandigarh,2015,435.500
Haryana Delhi & Chandigarh,2016,398.700
Haryana Delhi & Chandigarh,2017,421.700
Himachal Pradesh,1901,1345.000
Himachal Pradesh,1902,951.600
Himachal Pradesh,1903,993.400
Himachal Pradesh,1904,987.500
Himachal Pradesh,1905,930.200
Himachal Pradesh,1906,1317.400
Himachal Pradesh,1907,875.200
Himachal Pradesh,1908,987.500
Himachal Pradesh,1909,1077.100
Himachal Pradesh,1910,1406.900
Himachal Pradesh,1911,1333.900
Himachal Pradesh,1912,1207.600
Himachal Pradesh,1913,1119.300
Himachal Pradesh,1914,1735.900
Himachal Pradesh,1915,1236.800
Himachal Pradesh,1916,1172.100
Himachal Pradesh,1917,1703.500
Himachal Pradesh,1918,984.800
Himachal Pradesh,1919,1213.300
Himachal Pradesh,1920,1084.800
Himachal Pradesh,1921,1311.400
Himachal Pradesh,1922,1718.600
Himachal Pradesh,1923,1621.000
